epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,371.546,1.568,1.00926,0.96071,0.5079,0.59998,0.57511,0.28065,1.72564,1.66459,1.0678,0.00090602,0.00090602,0.00090602
43,380.303,1.57846,1.06641,0.97817,0.59932,0.63392,0.62638,0.32526,1.73081,1.71523,1.06367,0.000901021,0.000901021,0.000901021
44,389.342,1.53813,0.96783,0.94035,0.66912,0.43769,0.52858,0.27685,1.78398,1.82093,1.12169,0.000896022,0.000896022,0.000896022
45,398.099,1.56594,0.98491,1.00037,0.744,0.3566,0.42022,0.20491,1.72496,1.88545,1.10358,0.000891022,0.000891022,0.000891022
46,406.852,1.49746,0.93909,0.98143,0.78273,0.46488,0.5351,0.30944,1.65572,1.7009,1.0997,0.000886023,0.000886023,0.000886023
47,415.779,1.50753,0.92564,0.94223,0.85305,0.45831,0.56169,0.3484,1.57687,1.55154,1.07513,0.000881023,0.000881023,0.000881023
48,424.641,1.54706,0.93919,0.9611,0.87439,0.55696,0.61334,0.30356,1.90061,1.46149,1.0738,0.000876024,0.000876024,0.000876024
49,433.513,1.56843,0.89513,0.94388,0.62843,0.56028,0.53067,0.28178,1.76572,1.56292,1.0663,0.000871024,0.000871024,0.000871024
50,442.258,1.57252,0.91439,0.97122,0.75589,0.39179,0.45706,0.25988,1.84282,1.91919,1.11299,0.000866025,0.000866025,0.000866025
51,451.046,1.60023,0.93586,0.94224,0.78343,0.37641,0.462,0.2671,1.80137,1.82628,1.15114,0.000861025,0.000861025,0.000861025
52,459.793,1.57015,0.92838,0.98084,0.51668,0.65974,0.63196,0.30466,1.67194,1.61191,1.0594,0.000856026,0.000856026,0.000856026
53,468.535,1.55362,0.91882,0.98527,0.69468,0.50308,0.58921,0.31838,1.71497,1.5142,1.01085,0.000851026,0.000851026,0.000851026
54,477.27,1.48069,0.90507,0.94118,0.87228,0.51394,0.57904,0.32088,1.61086,1.55371,1.03811,0.000846027,0.000846027,0.000846027
55,486.221,1.51006,0.85705,0.96141,0.84259,0.48308,0.58072,0.32647,1.62349,1.6892,1.05406,0.000841027,0.000841027,0.000841027
56,495.055,1.45446,0.85835,0.93373,0.65996,0.56604,0.62808,0.33035,1.73248,1.70888,1.08959,0.000836027,0.000836027,0.000836027
57,503.839,1.49574,0.87125,0.94704,0.7467,0.56251,0.65426,0.36515,1.51341,1.52295,1.04443,0.000831028,0.000831028,0.000831028
58,512.866,1.45953,0.85053,0.93024,0.78827,0.52306,0.65083,0.3575,1.54632,1.67463,1.02339,0.000826029,0.000826029,0.000826029
59,521.615,1.49751,0.90932,0.93408,0.71912,0.54963,0.6353,0.37379,1.58923,1.67736,1.02126,0.000821029,0.000821029,0.000821029
60,530.46,1.40254,0.87011,0.92139,0.62809,0.60051,0.59066,0.34946,1.57841,1.7812,1.03642,0.00081603,0.00081603,0.00081603
61,539.21,1.34097,0.85394,0.9307,0.62547,0.56587,0.63583,0.35614,1.49455,1.47844,0.99955,0.00081103,0.00081103,0.00081103
62,547.977,1.38932,0.89606,0.9562,0.76782,0.46276,0.58992,0.33207,1.4063,1.44829,0.97916,0.000806031,0.000806031,0.000806031
63,556.767,1.3232,0.83039,0.93307,0.81014,0.46404,0.54668,0.32488,1.37179,1.44546,0.96382,0.000801031,0.000801031,0.000801031
64,565.515,1.38013,0.83899,0.9229,0.52335,0.61538,0.541,0.28197,1.57442,1.61686,0.99489,0.000796032,0.000796032,0.000796032
65,574.366,1.41326,0.81773,0.95968,0.53318,0.49026,0.57204,0.30695,1.69682,1.8351,1.0519,0.000791032,0.000791032,0.000791032
66,583.133,1.44304,0.82279,0.94716,0.5402,0.56366,0.56631,0.30662,1.61098,1.93256,1.01796,0.000786033,0.000786033,0.000786033
67,591.851,1.38452,0.83095,0.95413,0.43132,0.55385,0.56343,0.29218,1.54059,1.7263,1.01291,0.000781033,0.000781033,0.000781033
68,600.603,1.39917,0.79047,0.92212,0.41115,0.48769,0.54159,0.30547,1.53,1.67352,1.03607,0.000776034,0.000776034,0.000776034
69,609.362,1.40552,0.79413,0.95193,0.497,0.5659,0.55805,0.33314,1.5638,1.51778,1.01658,0.000771034,0.000771034,0.000771034
70,618.098,1.42064,0.7849,0.92461,0.56614,0.58049,0.57746,0.32608,1.54912,1.51018,1.0364,0.000766035,0.000766035,0.000766035
71,626.865,1.36415,0.78819,0.93735,0.86245,0.45261,0.55031,0.29759,1.53544,1.56172,1.02799,0.000761035,0.000761035,0.000761035
72,635.629,1.35771,0.83467,0.94319,0.6671,0.58385,0.57678,0.30883,1.51738,1.43989,0.99657,0.000756036,0.000756036,0.000756036
73,644.372,1.36903,0.79289,0.92873,0.64914,0.56874,0.62626,0.32209,1.56751,1.38714,1.01276,0.000751036,0.000751036,0.000751036
74,653.109,1.34396,0.81741,0.91181,0.65635,0.5777,0.58956,0.28633,1.54776,1.57754,0.9984,0.000746037,0.000746037,0.000746037
75,661.847,1.45073,0.82962,0.92133,0.5885,0.58579,0.53251,0.27479,1.48917,1.52838,0.99183,0.000741037,0.000741037,0.000741037
76,670.594,1.43183,0.82438,0.93067,0.58958,0.47134,0.48594,0.27799,1.57907,1.7171,1.0198,0.000736037,0.000736037,0.000736037
77,679.34,1.3804,0.81895,0.90533,0.82746,0.46811,0.44339,0.26751,1.60217,2.02641,1.04072,0.000731038,0.000731038,0.000731038
78,688.102,1.29283,0.76376,0.89457,0.62077,0.51975,0.56372,0.31647,1.49646,1.88414,1.02197,0.000726038,0.000726038,0.000726038
79,696.84,1.24682,0.71123,0.88933,0.56926,0.5959,0.54962,0.33264,1.48229,2.08454,1.02842,0.000721039,0.000721039,0.000721039
80,705.591,1.29684,0.73144,0.88855,0.59534,0.57146,0.53524,0.31944,1.55151,2.21445,1.05361,0.000716039,0.000716039,0.000716039
81,714.338,1.26541,0.71659,0.90219,0.52028,0.63974,0.60096,0.31153,1.62946,1.92237,1.06824,0.00071104,0.00071104,0.00071104
82,723.09,1.26111,0.72404,0.90904,0.88204,0.41052,0.54338,0.30078,1.68252,1.85765,1.05021,0.00070604,0.00070604,0.00070604
83,731.821,1.28144,0.71052,0.90269,0.52073,0.49638,0.55385,0.3065,1.66896,1.81713,1.03418,0.000701041,0.000701041,0.000701041
84,740.632,1.24781,0.70583,0.90129,0.61889,0.47226,0.55772,0.29868,1.58437,1.73448,1.02901,0.000696041,0.000696041,0.000696041
85,749.422,1.28192,0.70857,0.90575,0.55465,0.48308,0.53524,0.28066,1.5632,1.70227,1.01773,0.000691042,0.000691042,0.000691042
86,758.155,1.2956,0.70596,0.89731,0.58506,0.42769,0.49614,0.28925,1.49684,1.65802,0.98974,0.000686042,0.000686042,0.000686042
87,767.016,1.27206,0.70359,0.88146,0.45837,0.59641,0.49853,0.29955,1.56867,1.71097,1.00784,0.000681043,0.000681043,0.000681043
88,775.776,1.25444,0.72556,0.91426,0.7052,0.51216,0.53933,0.28349,1.73288,1.65724,1.05586,0.000676043,0.000676043,0.000676043
